date,meter_value
25-12-2016,0
25-12-2016,149
25-12-2016,0
25-12-2016,805
26-12-2016,0
26-12-2016,341
26-12-2016,0
26-12-2016,575
27-12-2016,0
27-12-2016,294
27-12-2016,0
27-12-2016,318
28-12-2016,0
28-12-2016,49
28-12-2016,133
28-12-2016,26
29-12-2016,0
29-12-2016,132
29-12-2016,93
30-12-2016,0
30-12-2016,204
30-12-2016,11
30-12-2016,722
31-12-2016,0
31-12-2016,613
31-12-2016,56
31-12-2016,281
01-01-2017,131
01-01-2017,258
01-01-2017,10
01-01-2017,556
02-01-2017,18
02-01-2017,141
02-01-2017,16
03-01-2017,11
03-01-2017,223
03-01-2017,18
03-01-2017,1271
04-01-2017,14
04-01-2017,214
04-01-2017,15
05-01-2017,13
05-01-2017,94
05-01-2017,47
05-01-2017,1022
06-01-2017,0
06-01-2017,171
06-01-2017,171
07-01-2017,16
07-01-2017,447
07-01-2017,39
07-01-2017,947
08-01-2017,223
08-01-2017,210
08-01-2017,152
08-01-2017,346
09-01-2017,17
09-01-2017,176
09-01-2017,14
10-01-2017,12
10-01-2017,236
10-01-2017,14
10-01-2017,1151
11-01-2017,18
11-01-2017,360
11-01-2017,83
12-01-2017,66
12-01-2017,227
12-01-2017,161
13-01-2017,19
13-01-2017,124
13-01-2017,18
14-01-2017,33
14-01-2017,187
14-01-2017,170
15-01-2017,138
15-01-2017,326
15-01-2017,121
15-01-2017,2537
16-01-2017,49
16-01-2017,320
16-01-2017,32
16-01-2017,921
17-01-2017,20
17-01-2017,258
17-01-2017,9
18-01-2017,33
18-01-2017,175
18-01-2017,109
19-01-2017,33
19-01-2017,171
19-01-2017,53
20-01-2017,12
20-01-2017,193
20-01-2017,34
21-01-2017,31
21-01-2017,330
21-01-2017,10
22-01-2017,162
22-01-2017,230
22-01-2017,146
23-01-2017,23
23-01-2017,186
23-01-2017,47
24-01-2017,21
24-01-2017,418
24-01-2017,20
25-01-2017,138
25-01-2017,247
25-01-2017,190
26-01-2017,21
26-01-2017,237
26-01-2017,27
26-01-2017,5888
27-01-2017,57
27-01-2017,244
27-01-2017,17
27-01-2017,72
28-01-2017,46
28-01-2017,290
28-01-2017,190
28-01-2017,1054
29-01-2017,77
29-01-2017,425
29-01-2017,201
29-01-2017,55
